"show_id","title","director_id","release_year","duration"
"s642","""Sisters on Track""","d2809",2021,"97 min"
"s644","""The Seventh Day""","d676",2021,"87 min"
"s645","""Good on Paper""","d3466",2021,"94 min"
"s646","""Murder by the Coast""","d2505",2021,"89 min"
"s647","""The House of Flowers: The Movie""","d2968",2021,"88 min"
"s650","""Broken""","d2787",2019,"108 min"
"s651","""O Vendedor de Sonhos""","d1123",2016,"96 min"
"s652","""Osuofia in London""","d4080",2003,"84 min"
"s653","""Osuofia in London II""","d1572",2004,"70 min"
"s655","""#Selfie""","d2144",2014,"125 min"
"s656","""#Selfie 69""","d1688",2016,"119 min"
"s657","""Love Is a Story""","d4133",2015,"105 min"
"s671","""Mobile Suit Gundam II: Soldiers of Sorrow""","d3852",1981,"133 min"
"s672","""Mobile Suit Gundam III: Encounters in Space""","d3441",1982,"140 min"
"s673","""Mobile Suit Gundam: Char's Counterattack""","d3767",1988,"120 min"
"s684","""A Family""","d2327",2021,"135 min"
"s686","""Fatherhood""","d2915",2021,"111 min"
"s688","""Jagame Thandhiram""","d3953",2021,"159 min"
"s689","""Kambili: The Whole 30 Yards""","d596",2020,"119 min"
"s690","""Mobile Suit Gundam I""","d729",1981,"139 min"
"s691","""Rurouni Kenshin: The Final""","d1366",2021,"137 min"
"s694","""Ali & Ratu Ratu Queens""","d4493",2021,"101 min"
"s695","""Aziza""","d699",2019,"13 min"
"s696","""Besieged Bread""","d396",2015,"12 min"
"s699","""Fan Girl""","d4172",2020,"101 min"
"s702","""Red Snow""","d4361",2019,"96 min"
"s703","""Silver Linings Playbook""","d2503",2012,"122 min"
"s705","""A Man For The Week End""","d1820",2018,"95 min"
"s706","""Biking Borders""","d718",2019,"89 min"
"s709","""Lowriders""","d2783",2016,"98 min"
"s712","""Security""","d3578",2021,"119 min"
"s713","""Silver Skates""","d144",2020,"138 min"
"s717","""FTA""","d3141",1972,"104 min"
"s718","""Headspace: Unwind Your Mind""","d4492",2021,"273 min"
"s719","""Life of Crime""","d2939",2013,"101 min"
"s722","""Rogue Warfare: Death of a Nation""","d3637",2020,"99 min"
"s723","""Sir! No Sir!""","d3223",2005,"84 min"
"s725","""The Reason I Jump""","d1168",2021,"82 min"
"s728","""Picture a Scientist""","d2617",2020,"97 min"
"s729","""The Devil Below""","d1063",2021,"89 min"
"s730","""Bling Empire - The Afterparty""","d2157",2021,"36 min"
"s731","""Cobra Kai - The Afterparty""","d2983",2021,"34 min"
"s733","""To All the Boys: Always and Forever - The Afterparty""","d3295",2021,"36 min"
"s736","""Sarbath""","d1157",2021,"113 min"
"s737","""Skater Girl""","d733",2021,"110 min"
"s739","""Trese After Dark""","d4331",2021,"36 min"
"s740","""Wish Dragon""","d954",2021,"102 min"
"s741","""A Haunted House 2""","d2540",2014,"86 min"
"s742","""Blind Intersections""","d3325",2012,"91 min"
"s743","""Camellia Sisters""","d3302",2021,"117 min"
"s744","""Copenhagen""","d1543",2014,"99 min"
"s746","""Until Midnight""","d1192",2019,"77 min"
"s747","""Awake""","d2994",2021,"97 min"
"s748","""Confusion Na Wa""","d2682",2013,"106 min"
"s751","""Tragic Jungle""","d1218",2021,"97 min"
"s753","""Vampire Academy""","d1541",2014,"104 min"
"s755","""A Private War""","d3237",2018,"110 min"
"s756","""Kitty Love: An Homage to Cats""","d2387",2021,"61 min"
"s757","""Small Chops""","d3720",2020,"98 min"
"s758","""Breaking Boundaries: The Science Of Our Planet""","d1389",2021,"74 min"
